"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
433,"NCT01838057","Evaluation of the Clinical and Economic Impact of painPRIMER in the Treatment of Low Back Pain in a Primary Care Setting",,"Terminated","No Results Available","Low Back Pain","Device: painPREMIER cohort|Other: Control cohort","Roland Morris Disability Questionnaire: Change from baseline to month 3 in the Roland Morris Disability Questionnaire (RMDQ) total score in the painPRIMER cohort vs control cohort|Low back pain (LBP) Cost: LBP (specific and related) direct medical costs associated with utilization of healthcare incurred by each study patient from baseline to month 6|Change from baseline to month 6 in RMDQ total score|Change from baseline to month 3 and 6 in low back pain intensity (LBPI)|Change from baseline to month 3 and 6 daily sleep interference rating scale (DSIRS)|Response as defined as a the proportion of patients with at least 30% and 50% improvement in LBPI at 3 and 6 months|Response as defined as a the proportion of patients with at least 30% and 50% improvement in RMDQ at 3 and 6 months|Quality of Life in the painPRIMER cohort vs control cohort: Change from baseline to month 3 and 6 in the Short- Form.|psychosocial outcomes in the painPRIMER cohort and control cohort: Proportion of patients at risk for depression and/or anxiety (via Patient Health Questionnaire-4 [PHQ-4]) at baseline, 3 and 6 months|psychosocial outcomes in the painPRIMER cohort and control cohort: Changes from baseline to month 3 and 6 in patients at risk for depression (PHQ-8) and anxiety (GAD-7), among those receiving the instrument (NOTE: only given to those scoring >/=|3 on PHQ-4)|psychosocial outcomes in the painPRIMER cohort and control cohort: Change from baseline to month 3 and 6 in catastrophizing (Coping Strategies Questionnaire -Catastrophizing [CSQ-CAT])|productivity/indirect costs: Changes from baseline to month 3 and 6 in Work Productivity and Activity Impairment (WPAI): Specific Health Problem, LBP|Direct cost: Comparison of resource use/direct medical costs, in 6 months pre-enrollment/index date and 6 months post-enrollment/index date via insurance claims data for painPRIMER and control cohorts|Patient satisfaction with painPRIMER|Healthcare professional satisfaction with painPRIMER","Pfizer|Piedmont Healthcare System","All","18 Years and older   (Adult, Older Adult)","","103","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","X9001010","June 2013","July 2014","July 2014","April 23, 2013","null","April 16, 2015","Pfizer Investigational Site, Fayetteville, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01838057"
434,"NCT01837524","The KP Personal Shopper: A Pilot to Improve the Impact of Dietary Advice",,"Completed","Has Results","Overweight|Obesity","Behavioral: KP Personal Shopper Visits|Behavioral: In-Office Dietitian Visits","Change in Dietary Quality Scores of Members as Measured Using the 2005 Healthy Eating Index (HEI).|Nutritional Knowledge of Members","Kaiser Permanente","All","18 Years to 64 Years   (Adult)","Not Applicable","55","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","Pro00003988","June 2013","October 2013","November 2013","April 23, 2013","April 12, 2017","April 12, 2017","Kaiser Permanente Center for Health Research, Southeast, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01837524"
435,"NCT01833962","A Retrospective Study of Actifuse Synthetic Bone Graft Versus Other Bone Graft Substitutes in Patients Requiring Lumbar Fusion",,"Unknown status","No Results Available","Lumbar Fusion","","Achievement of fusion prior to or at 12 months postoperatively","OrthoGeorgia|Baxter Healthcare Corporation","All","18 Years and older   (Adult, Older Adult)","","100","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","001-3708","January 2013","August 2015","December 2015","April 17, 2013","null","April 21, 2015","OrthoGeorgia, Macon, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01833962"
436,"NCT01824134","Aloe Vera on Irradiated Breast Tissue",,"Completed","No Results Available","Irradiated Breast Tissue","Other: Klean & Klear The Dandy Day Corp|Other: The Skin Gel Herbal Answers, Inc","erythema|itching","John D. Archbold Memorial Hospital","Female","18 Years and older   (Adult, Older Adult)","Phase 3","40","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Supportive Care","12-09-008","October 2012","March 2014","March 2014","April 4, 2013","null","September 19, 2016","Lewis Hall Singletary Oncology Center at John D. Archbold Memorial Hospital, Thomasville, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01824134"
437,"NCT01823237","Effect of Increasing Motor Cortex Inhibition on Task Specific Dystonia",,"Recruiting","No Results Available","Dystonia","Device: Transcranial Magnetic Stimulation","Efficacy of TMS on task-specific focal hand dystonia","Emory University","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","15","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Diagnostic","IRB00062538|DYST","February 2013","December 2018","April 2019","April 4, 2013","null","February 1, 2018","Emory University School of Medicine, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01823237"
438,"NCT01815567","DETECT and Retinal Outcomes in Hypertension",,"Recruiting","No Results Available","Hypertension|Retinal Disorder|Cognitive Impairment","","DETECT neurocognitive outcome scores (Z-scores) in association with blood pressure measures and retinal pathology (isolated retinal hemorrhage, grade III/IV hemorrhagic retinopathy)|Variance of DETECT scores (Z-score) attributed to reading level","Emory University","All","18 Years to 65 Years   (Adult, Older Adult)","","300","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","IRB00060043","November 2012","December 2018","March 2019","March 21, 2013","null","January 18, 2018","Grady Memorial Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01815567"
439,"NCT01813409","Rheumatology Clinical Registry","RCR","Unknown status","No Results Available","Rheumatoid Arthritis","","Quality of the treatment of rheumatoid arthritis and other diseases|Submission to federal reporting programs","American College of Rheumatology","All","Child, Adult, Older Adult","","820","Other","Observational","","ACR-RCR","August 2009","December 2015","null","March 19, 2013","null","September 1, 2014","Registry Site, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01813409"
440,"NCT01808222","FACBC for Recurrent Prostate Cancer",,"Active, not recruiting","No Results Available","Recurrent Prostate Cancer","Drug: FACBC","The presence of cancer tissue inside and outside of the prostate bed.","David M. Schuster, MD|Emory University","Male","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","25","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB00061518|FACBC2","November 2013","October 2018","October 2018","March 11, 2013","null","November 6, 2017","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01808222"
441,"NCT01807156","Phase II Trial of Tivozanib in Advanced Hepatocellular Cancer",,"Terminated","Has Results","Hepatocellular Cancer","Drug: Tivozanib","Number of Patients With Advanced Hepatocellular Cancer (HCC) Receiving Tivozanib Who Are Free From Progression|Response Rate Based on Response Evaluation Criteria in Solid Tumors (RECIST) Criteria","Emory University|AVEO Pharmaceuticals, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","7","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00061422|WINSHIP2302-12","March 2013","February 2015","February 2015","March 8, 2013","April 22, 2016","April 22, 2016","Emory University, Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01807156"
442,"NCT01805895","A Pilot Study of Minocycline in Intracerebral Hemorrhage Patients","MACH","Completed","Has Results","Intracerebral Hemorrhage","Drug: Minocycline","Modified Rankin Scale|Safety Assessment","Augusta University|American Heart Association","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","16","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","Pro00000718","February 2013","December 2016","December 2016","March 6, 2013","April 26, 2018","April 26, 2018","Georgia Health Sciences University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01805895"
443,"NCT01805622","Educational Program to Increase Colorectal Cancer Screening: a Cluster Trial","EPICS","Unknown status","No Results Available","Colorectal Cancer","Behavioral: Active Arm #1, #2, Passive Arm #1, #2","Reach (RE-AIM Framework)|Effectiveness (RE-AIM Framework)|Adoption (RE-AIM Framework)|Implementation (RE-AIM Framework)","Morehouse School of Medicine|National Cancer Institute (NCI)","All","50 Years to 74 Years   (Adult, Older Adult)","Not Applicable","7200","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening","EPICS cRCT|1R01CA166785","August 2012","March 2017","March 2017","March 6, 2013","null","March 6, 2013","Morehouse School of Medicine, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01805622"
444,"NCT01799837","Norepinephrine Transporter Availability in PTSD",,"Completed","No Results Available","Posttraumatic Stress Disorder","Drug: [C-11]MENET","Measurement of norepinephrine availability","Emory University","Male","30 Years to 70 Years   (Adult, Older Adult)","Phase 1","9","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRB00057641|URC-00025435","June 2012","April 2013","July 2013","February 27, 2013","null","September 11, 2013","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01799837"
445,"NCT01798550","Enoxaparin Dosing in Obesity",,"Completed","Has Results","Obesity","Drug: Enoxaparin","Proportion of Patients With an Initial Therapeutic Anti-Xa Level at Steady State in Each Group|Time to Therapeutic Anti-Xa Level for Both Groups","Emory University","All","18 Years and older   (Adult, Older Adult)","Phase 4","62","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00063210","March 2013","October 1, 2016","October 15, 2016","February 26, 2013","November 6, 2017","December 14, 2017","Grady Memorial Hospital, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT01798550/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01798550"
446,"NCT01794949","Optical Frequency Domain Imaging (OFDI) and Vascular Healing After Stent Placement","OFDI-DM","Completed","Has Results","Coronary Artery Disease","Device: Resolute Integrity stent","Percent Stent Coverage","Emory University","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","8","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00057208","September 2013","March 2016","November 2016","February 20, 2013","May 15, 2017","May 15, 2017","Emory University Hospital Midtown, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01794949"
447,"NCT01787292","Effects of Exercise Intervention on Aging-related Motor Decline","EIAMD","Active, not recruiting","No Results Available","Aging|Exercise","Behavioral: Coordination training|Behavioral: Short Term exercise - supervised|Behavioral: Long Term Exercise","Motor Dexterity Score Improvement|Interhemispheric Inhibition Improvement after Exercise|Enhanced Interhemispheric Inhibition Improvement after Long Term Exercise","VA Office of Research and Development","All","60 Years to 85 Years   (Adult, Older Adult)","Not Applicable","40","U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","E0956-W|2012-060697","January 14, 2013","July 7, 2018","November 1, 2019","February 8, 2013","null","October 11, 2018","Atlanta VA Medical and Rehab Center, Decatur, GA, Decatur, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01787292"
448,"NCT01786148","Music for Health Project","MFH","Completed","No Results Available","Human Immunodeficiency Virus","Behavioral: mobile phone application","Increased antiretroviral therapy (ART) adherence rates|Significantly higher mean levels of ART drug levels in hair sample analyses.|Mediators and Moderators","Emory University|National Institute of Nursing Research (NINR)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","149","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00055077|1R01NR012923","June 2014","April 19, 2017","June 30, 2017","February 7, 2013","null","July 31, 2017","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01786148"
449,"NCT01782092","Activator and Type II Diabetics",,"Completed","No Results Available","Type II Diabetes","Other: Chiropractic Adjustment","Lowered A1C Levels","Life University","All","30 Years to 60 Years   (Adult)","","5","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","I-009","August 2012","August 2014","August 2014","February 1, 2013","null","April 20, 2016","Life University, Marietta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01782092"
450,"NCT01776073","Evaluation of a Patient Navigation System to Reduce Time to Waitlisting for Potential Kidney Transplant Recipients",,"Completed","No Results Available","End-Stage Renal Disease","Behavioral: Patient Navigation","Time from evaluation to waitlisting in referred patients; Rate of pre-transplant evaluation completion|Time from referral to evaluation appointment|Time from referral to initial listing (active or inactive)|Time from referral to transplant","Emory University","All","18 Years to 95 Years   (Adult, Older Adult)","Not Applicable","401","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00060661|Mason-01","January 2013","October 2017","October 2017","January 25, 2013","null","February 22, 2018","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT01776073"
